0,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név
261,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-MATSZT,Ajánlott differenciált matematikai és számítástudományi ismeretek,Kötelező,,,,,,3,,TT-MBNXK313,Kalkulus II.,Kötelezően választható,,,,,,,,TE-MBNXK313E,Kalkulus II. előadás,Kötelezően választható,,,MBNXK313E,Kalkulus II.,2,0,,MBNXK313E,Kalkulus II.,Kötelezően választható,,,,
262,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-MATSZT,Ajánlott differenciált matematikai és számítástudományi ismeretek,Kötelező,,,,,,2,,TT-MBNXK112,Diszkrét matematika II.,Kötelezően választható,,,,,,2,,TE-MBNXK112E,Diszkrét matematika II. előadás,Kötelezően választható,,,MBNXK112E,Diszkrét matematika II.,2,2,,MBNXK112E,Diszkrét matematika II.,Kötelezően választható,Kollokvium Jeles (5) 2021.06.02.,1,,
263,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-INF,Ajánlott differenciált informatikai ismeretek,Kötelező,,,,,,,,TT-IB470,Mobil alkalmazásfejlesztés,Kötelezően választható,,,,,,,,TE-IB470G,Mobil alkalmazásfejlesztés gyakorlat,Kötelezően választható,,,IB470G,Mobil alkalmazásfejlesztés,2,3,,IB470G,Mobil alkalmazásfejlesztés,Kötelezően választható,Gyakorlati jegy Jeles (5) 2023.05.15.,2,,
264,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-INF,Ajánlott differenciált informatikai ismeretek,Kötelező,,,,,,5,,TT-IB570,Alkalmazásfejlesztés II.,Kötelezően választható,,,,,,,,TE-IB570E,Alkalmazásfejlesztés II.,Kötelezően választható,,,IB570E,Alkalmazásfejlesztés II.,1,5,,IB570E,Alkalmazásfejlesztés II.,Kötelezően választható,,,,
265,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-INF,Ajánlott differenciált informatikai ismeretek,Kötelező,,,,,,,,TT-IB411,Számítógéppel támogatott tervezés,Kötelezően választható,,,,,,,,TE-IB411E,Számítógéppel támogatott tervezés előadás,Kötelezően választható,,,IB411e-00001,Számítógéppel támogatott tervezés,3,3,,IB411e-00001,Számítógéppel támogatott tervezés,Kötelezően választható,,1,,
266,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-INF,Ajánlott differenciált informatikai ismeretek,Kötelező,,,,,,6,,TT-IB670,Agilis szoftverfejlesztés,Kötelezően választható,,,,,,,,TE-IB670E,Agilis szoftverfejlesztés előadás,Kötelezően választható,,,IB670E,Agilis szoftverfejlesztés,1,6,,IB670E,Agilis szoftverfejlesztés,Kötelezően választható,,,,
267,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-S-MI,Mesterséges intelligencia specializáció,Kötelezően választható,,,,,,,,MK-S-MI-INF,Mesterséges intelligencia - differenciált informatikai ismeretek,Kötelező,,,,,,,,MK-S-MI-INF-S,Mesterséges intelligencia - egyéb informatikai ismeretek,Kötelező,,,IB222G,Funkcionális programozás a gyakorlatban,2,4,,IB222G,Funkcionális programozás a gyakorlatban,Kötelezően választható,,,,
268,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-INF,Ajánlott differenciált informatikai ismeretek,Kötelező,,,,,,,,TT-IB076,Digitális képek szegmentálása,Kötelezően választható,,,,,,,,TE-IB076E,Digitális képek szegmentálása előadás,Kötelezően választható,,,IB001e-00087,Digitális képek szegmentálása,3,3,,IB001e-00087,Digitális képek szegmentálása,Kötelezően választható,,,,
269,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-MATSZT,Ajánlott differenciált matematikai és számítástudományi ismeretek,Kötelező,,,,,,3,,TT-MBNXK114,Diszkrét matematika III.,Kötelezően választható,,,,,,3,,TE-MBNXK114G,Diszkrét matematika III. gyakorlat,Kötelezően választható,,,MBNXK114G,Diszkrét matematika III.,3,3,,MBNXK114G,Diszkrét matematika III.,Kötelezően választható,Gyakorlati jegy Közepes (3) 2022.12.19.,1,,
270,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-S-MI,Mesterséges intelligencia specializáció,Kötelezően választható,,,,,,,,MK-S-MI-INF,Mesterséges intelligencia - differenciált informatikai ismeretek,Kötelező,,,,,,,,MK-S-MI-INF-A,Mesterséges intelligencia - ajánlott informatikai ismeretek,Kötelező,,,IB370G,Szkriptnyelvek gyak.,2,3,,IB370G,Szkriptnyelvek gyak.,Kötelezően választható,Gyakorlati jegy Elégséges (2) 2021.12.20.,1,,
271,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-INF,Ajánlott differenciált informatikai ismeretek,Kötelező,,,,,,,,TT-IB370,Szkriptnyelvek,Kötelezően választható,,,,,,,,TE-IB370G,Szkriptnyelvek gyakorlat,Kötelezően választható,,,IB370G,Szkriptnyelvek gyak.,2,3,,IB370G,Szkriptnyelvek gyak.,Kötelezően választható,Gyakorlati jegy Elégséges (2) 2021.12.20.,1,,
272,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-S-MI,Mesterséges intelligencia specializáció,Kötelezően választható,,,,,,,,MK-S-MI-INF,Mesterséges intelligencia - differenciált informatikai ismeretek,Kötelező,,,,,,,,MK-S-MI-INF-S,Mesterséges intelligencia - egyéb informatikai ismeretek,Kötelező,,,IBV117E,Validalt mesterséges intelligencia ismeretek,4,0,,IBV117E,Validalt mesterséges intelligencia ismeretek,Kötelezően választható,,,,
273,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-S-MI,Mesterséges intelligencia specializáció,Kötelezően választható,,,,,,,,MK-S-MI-INF,Mesterséges intelligencia - differenciált informatikai ismeretek,Kötelező,,,,,,,,MK-S-MI-INF-S,Mesterséges intelligencia - egyéb informatikai ismeretek,Kötelező,,,IB041e,Multimédia,2,3,,IB041e,Multimédia,Kötelezően választható,,,,
274,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-INF,Ajánlott differenciált informatikai ismeretek,Kötelező,,,,,,,,TT-IB041,Multimédia,Kötelezően választható,,,,,,,,TE-IB041E,Multimédia előadás,Kötelezően választható,,,IB041e,Multimédia,2,3,,IB041e,Multimédia,Kötelezően választható,,,,
275,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-S-MI,Mesterséges intelligencia specializáció,Kötelezően választható,,,,,,,,MK-S-MI-INF,Mesterséges intelligencia - differenciált informatikai ismeretek,Kötelező,,,,,,,,MK-S-MI-INF-A,Mesterséges intelligencia - ajánlott informatikai ismeretek,Kötelező,,,IB00129G,Számítógépes beszédelemzés,3,4,,IB00129G,Számítógépes beszédelemzés,Kötelezően választható,,,,
276,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-INF,Ajánlott differenciált informatikai ismeretek,Kötelező,,,,,,5,,TT-IBK004,Szoftvertesztelés alapjai,Kötelezően választható,,,,,,,,TE-IBK004E,Szoftvertesztelés alapjai előadás,Kötelezően választható,,,IBK004E,Szoftvertesztelés alapjai,2,5,,IBK004E,Szoftvertesztelés alapjai,Kötelezően választható,Kollokvium Elégséges (2) 2023.01.17.,1,,
277,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-S-MI,Mesterséges intelligencia specializáció,Kötelezően választható,,,,,,,,MK-S-MI-MATSZT,Mesterséges intelligencia - differenciált matematikai és számítástudományi ismeretek,Kötelező,,,,,,,,MK-S-MI-MATSZT-S,Mesterséges intelligencia - egyéb matematikai és számítástudományi ismeretek,Kötelezően választható,,,IB076e,Új elvű számítások az informatikában,3,4,,IB076e,Új elvű számítások az informatikában,Kötelezően választható,,,,
278,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-MATSZT,Ajánlott differenciált matematikai és számítástudományi ismeretek,Kötelező,,,,,,,,TT-IB076,Új elvű számítások az informatikában,Kötelezően választható,,,,,,,,TE-IB076E,Új elvű számítások az informatikában előadás,Kötelezően választható,,,IB076e,Új elvű számítások az informatikában,3,2,,IB076e,Új elvű számítások az informatikában,Kötelezően választható,,,,
279,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-S-MI,Mesterséges intelligencia specializáció,Kötelezően választható,,,,,,,,MK-S-MI-INF,Mesterséges intelligencia - differenciált informatikai ismeretek,Kötelező,,,,,,,,MK-S-MI-INF-A,Mesterséges intelligencia - ajánlott informatikai ismeretek,Kötelező,,,IB0076G,Adatelemzés a szociális médiában,3,4,,IB0076G,Adatelemzés a szociális médiában,Kötelezően választható,,,,
280,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-INF,Ajánlott differenciált informatikai ismeretek,Kötelező,,,,,,,,TT-IB080,Térinformatika,Kötelezően választható,,,,,,,,TE-IB080G,Térinformatika gyakorlat,Kötelezően választható,,,IB080G,Térinformatika gyakorlat,2,4,,IB080G,Térinformatika gyakorlat,Kötelezően választható,,,,
281,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-INF,Ajánlott differenciált informatikai ismeretek,Kötelező,,,,,,,,TT-IB001-00090,Társadalmi és gazdasági hálózatok modellezése,Kötelezően választható,,,,,,,,TE-IB001-00090E,Társadalmi és gazdasági hálózatok modellezése előadás,Kötelezően választható,,,IB001e-00090,Társadalmi és gazdasági hálózatok modellezése,3,3,,IB001e-00090,Társadalmi és gazdasági hálózatok modellezése,Kötelezően választható,,,,
282,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-S-MI,Mesterséges intelligencia specializáció,Kötelezően választható,,,,,,,,MK-S-MI-INF,Mesterséges intelligencia - differenciált informatikai ismeretek,Kötelező,,,,,,,,MK-S-MI-INF-A,Mesterséges intelligencia - ajánlott informatikai ismeretek,Kötelező,,,IB521E,Gépi tanulás a gyakorlatban,1,3,,IB521E,Gépi tanulás a gyakorlatban,Kötelezően választható,,,,
283,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-INF,Ajánlott differenciált informatikai ismeretek,Kötelező,,,,,,,,TT-IB077,Mobil képalkotás és alkalmazásai,Kötelezően választható,,,,,,,,TE-IB077E,Mobil képalkotás és alkalmazásai előadás,Kötelezően választható,,,IB001e-00015,Mobil képalkotás és alkalmazásai,3,0,,IB001e-00015,Mobil képalkotás és alkalmazásai,Kötelezően választható,,,,
284,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-INF,Ajánlott differenciált informatikai ismeretek,Kötelező,,,,,,,,TT-IB470,Mobil alkalmazásfejlesztés,Kötelezően választható,,,,,,,,TE-IB470E,Mobil alkalmazásfejlesztés előadás,Kötelezően választható,,,IB470E,Mobil alkalmazásfejlesztés,1,3,,IB470E,Mobil alkalmazásfejlesztés,Kötelezően választható,Kollokvium Jeles (5) 2023.06.06.,2,,
285,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-S-MI,Mesterséges intelligencia specializáció,Kötelezően választható,,,,,,,,MK-S-MI-MATSZT,Mesterséges intelligencia - differenciált matematikai és számítástudományi ismeretek,Kötelező,,,,,,,,MK-S-MI-MATSZT-S,Mesterséges intelligencia - egyéb matematikai és számítástudományi ismeretek,Kötelezően választható,,,IBK309E,Döntéselméleti rendszerek,2,2,,IBK309E,Döntéselméleti rendszerek,Kötelezően választható,Kollokvium Közepes (3) 2021.12.21.,1,,
286,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-MATSZT,Ajánlott differenciált matematikai és számítástudományi ismeretek,Kötelező,,,,,,,,TT-IBK309,Döntéselméleti rendszerek,Kötelezően választható,,,,,,,,TE-IBK309E,Döntéselméleti rendszerek előadás,Kötelezően választható,,,IBK309E,Döntéselméleti rendszerek,2,2,,IBK309E,Döntéselméleti rendszerek,Kötelezően választható,Kollokvium Közepes (3) 2021.12.21.,1,,
287,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-S-MI,Mesterséges intelligencia specializáció,Kötelezően választható,,,,,,,,MK-S-MI-INF,Mesterséges intelligencia - differenciált informatikai ismeretek,Kötelező,,,,,,,,MK-S-MI-INF-A,Mesterséges intelligencia - ajánlott informatikai ismeretek,Kötelező,,,IB092E,Konvolúciós neurális hálók a képfeldolgozásban,3,5,,IB092E,Konvolúciós neurális hálók a képfeldolgozásban,Kötelezően választható,,,,
288,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-INF,Ajánlott differenciált informatikai ismeretek,Kötelező,,,,,,,,TT-IB676,Assembly programozás,Kötelezően választható,,,,,,,,TE-IB676E,Assembly programozás előadás,Kötelezően választható,,,IB676e,Assembly programozás,1,4,,IB676e,Assembly programozás,Kötelezően választható,Kollokvium Jeles (5) 2021.05.31.,1,,
289,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-INF,Ajánlott differenciált informatikai ismeretek,Kötelező,,,,,,6,,TT-IB670,Agilis szoftverfejlesztés,Kötelezően választható,,,,,,,,TE-IB670G,Agilis szoftverfejlesztés gyakorlat,Kötelezően választható,,,IB670G,Agilis szoftverfejlesztés,2,6,,IB670G,Agilis szoftverfejlesztés,Kötelezően választható,,,,
290,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB004e,Speciálkollégium 4. (ea+lab_2),Kötelezően választható,,,IB004e,Statisztikai szoftverek,5,,,IB004e,Statisztikai szoftverek,Kötelezően választható,Kollokvium Elégséges (2) 2023.01.17.,,,,,,,,,,,,,
291,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB004g,Speciálkollégium 4. (ea+lab_2),Kötelezően választható,,,IB004g,A .NET keretrendszer 3.5 új technológiái gyak.,0,,,IB004g,A .NET keretrendszer 3.5 új technológiái gyak.,Kötelezően választható,Gyakorlati jegy Közepes (3) 2022.12.09.,,,,,,,,,,,,,
292,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB006L,Speciálkollégium 6. (lab),Kötelezően választható,,,IB006L,PLC verseny felkészítés labor,4,,,IB006L,PLC verseny felkészítés labor,Kötelezően választható,,,,,,,,,,,,,,
293,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB002g,Speciálkollégium 2. (ea+gy),Kötelezően választható,,,IB002g-00006,Ellátási lánc és ütemezés modellek a gyakorlatban,0,,,IB002g-00006,Ellátási lánc és ütemezés modellek a gyakorlatban,Kötelezően választható,,,,,,,,,,,,,,
294,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB001e,Speciálkollégium 1. (ea),Kötelezően választható,,,IB001e-00230,Eötvös Informatika Műhely V. (tehetséggondozás),2,,,IB001e-00230,Eötvös Informatika Műhely V. (tehetséggondozás),Kötelezően választható,,,,,,,,,,,,,,
295,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB001e,Speciálkollégium 1. (ea),Kötelezően választható,,,IB001e-00229,Tehetséggondozás: Eötvös Informatika Műhely V.,1,,,IB001e-00229,Tehetséggondozás: Eötvös Informatika Műhely V.,Kötelezően választható,,,,,,,,,,,,,,
296,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB001e,Speciálkollégium 1. (ea),Kötelezően választható,,,IB001e-00054,Autodesk 3ds Max alapok,3,,,IB001e-00054,Autodesk 3ds Max alapok,Kötelezően választható,,,,,,,,,,,,,,
297,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB004e,Speciálkollégium 4. (ea+lab_2),Kötelezően választható,,,IB004e-00006,Offenzív biztonsági gyakorlatok I. előadás,5,,,IB004e-00006,Offenzív biztonsági gyakorlatok I. előadás,Kötelezően választható,,,,,,,,,,,,,,
298,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB003e,Speciálkollégium 3. (ea+lab),Kötelezően választható,,,IB003e-00002,Fejlett programozás I.,4,,,IB003e-00002,Fejlett programozás I.,Kötelezően választható,,,,,,,,,,,,,,
299,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB001e,Speciálkollégium 1. (ea),Kötelezően választható,,,IB001e-00023,.NET F#,3,,,IB001e-00023,.NET F#,Kötelezően választható,,,,,,,,,,,,,,
300,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB001e,Speciálkollégium 1. (ea),Kötelezően választható,,,IB001e-00001,Bevezetés a Big Data-ba,3,,,IB001e-00001,Bevezetés a Big Data-ba,Kötelezően választható,,,,,,,,,,,,,,
301,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB004e,Speciálkollégium 4. (ea+lab_2),Kötelezően választható,,,IB004e-00004,Beágyazott rendszerek,5,,,IB004e-00004,Beágyazott rendszerek,Kötelezően választható,,,,,,,,,,,,,,
302,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB003piL,Speciálkollégium 3. (ea+lab_pti),Kötelezően választható,,,IB003piL-00002,Telemedicina gyakorlat,0,,,IB003piL-00002,Telemedicina gyakorlat,Kötelezően választható,,,,,,,,,,,,,,
303,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB009L,Speciálkollégium 9. (lab),Kötelezően választható,,,IB009L-00001,Középhaladó LabVIEW programozás (CLAD),2,,,IB009L-00001,Középhaladó LabVIEW programozás (CLAD),Kötelezően választható,,,,,,,,,,,,,,
304,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB001e,Speciálkollégium 1. (ea),Kötelezően választható,,,IB001e-00121,"Okosóra, Okostelefon és OkosTV - Apple Swift alapú alkalmazás",3,,,IB001e-00121,"Okosóra, Okostelefon és OkosTV - Apple Swift alapú alkalmazás",Kötelezően választható,,,,,,,,,,,,,,
305,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB001e,Speciálkollégium 1. (ea),Kötelezően választható,,,IB001e-00079,Forgalomirányítás IP alapú hálózatokban,3,,,IB001e-00079,Forgalomirányítás IP alapú hálózatokban,Kötelezően választható,,,,,,,,,,,,,,
306,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB002e,Speciálkollégium 2. (ea+gy),Kötelezően választható,,,IB002e-00006,Ellátási lánc és ütemezés modellek a gyakorlatban,4,,,IB002e-00006,Ellátási lánc és ütemezés modellek a gyakorlatban,Kötelezően választható,,,,,,,,,,,,,,
307,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB004g,Speciálkollégium 4. (ea+lab_2),Kötelezően választható,,,IB004g-00004,Informatikai biztonság lab.,0,,,IB004g-00004,Informatikai biztonság lab.,Kötelezően választható,,,,,,,,,,,,,,
308,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB004e,Speciálkollégium 4. (ea+lab_2),Kötelezően választható,,,IB004e-00010,A .NET keretrendszer 3.5 új technológiái,5,,,IB004e-00010,A .NET keretrendszer 3.5 új technológiái,Kötelezően választható,,,,,,,,,,,,,,
309,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB001e,Speciálkollégium 1. (ea),Kötelezően választható,,,IB001e-00097,Web-alkalmazás fejlesztés J2EE technológiákkal (EPAM Systems),3,,,IB001e-00097,Web-alkalmazás fejlesztés J2EE technológiákkal (EPAM Systems),Kötelezően választható,,,,,,,,,,,,,,
310,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB001e,Speciálkollégium 1. (ea),Kötelezően választható,,,IB001e-00065,RIA fejlesztés,3,,,IB001e-00065,RIA fejlesztés,Kötelezően választható,,,,,,,,,,,,,,
311,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB004e,Speciálkollégium 4. (ea+lab_2),Kötelezően választható,,,IB004e-00007,Offenzív biztonsági gyakorlatok II.,5,,,IB004e-00007,Offenzív biztonsági gyakorlatok II.,Kötelezően választható,,,,,,,,,,,,,,
312,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB002e,Speciálkollégium 2. (ea+gy),Kötelezően választható,,,IB002e-00002,Speciális kurzus: ERASMUS előadás,4,,,IB002e-00002,Speciális kurzus: ERASMUS előadás,Kötelezően választható,,,,,,,,,,,,,,
313,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB003piL,Speciálkollégium 3. (ea+lab_pti),Kötelezően választható,,,IB003piL,Ügyviteli rendszerek hatékony fejlesztése Magic xpa-val mobilos funkciókkal kiegészítve (kezdő),0,,,IB003piL,Ügyviteli rendszerek hatékony fejlesztése Magic xpa-val mobilos funkciókkal kiegészítve (kezdő),Kötelezően választható,,,,,,,,,,,,,,
314,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB001e,Speciálkollégium 1. (ea),Kötelezően választható,,,IB001e-00082,Képfeldolgozó programcsomagok,3,4,,IB001e-00082,Képfeldolgozó programcsomagok,Kötelezően választható,,,,,,,,,,,,,,
315,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIF-INF,Ajánlott differenciált informatikai ismeretek,Kötelező,,,,,,,,TT-IB079,Képfeldogozó programcsomagok,Kötelezően választható,,,IB001e-00082,Képfeldolgozó programcsomagok,3,4,,IB001e-00082,Képfeldolgozó programcsomagok,Kötelezően választható,,,,,,,,,,,,,,
316,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB001e,Speciálkollégium 1. (ea),Kötelezően választható,,,IB001e-00016,Android alkalmazásfejlesztés az iparban,3,,,IB001e-00016,Android alkalmazásfejlesztés az iparban,Kötelezően választható,,,,,,,,,,,,,,
317,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB001e,Speciálkollégium 1. (ea),Kötelezően választható,,,IB001e-00081,Ethernet alapú helyi és városi hálózatok,3,,,IB001e-00081,Ethernet alapú helyi és városi hálózatok,Kötelezően választható,,,,,,,,,,,,,,
318,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB009L,Speciálkollégium 9. (lab),Kötelezően választható,,,IB009L-00012,Többplatformos alkalmazás-fejlesztés Xamarinnal,2,,,IB009L-00012,Többplatformos alkalmazás-fejlesztés Xamarinnal,Kötelezően választható,,,,,,,,,,,,,,
319,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB003l,Speciálkollégium 3. (ea+lab),Kötelezően választható,,,IB003l-00014,Angular 2 - a jövő alkalmazás-platformja labor,1,,,IB003l-00014,Angular 2 - a jövő alkalmazás-platformja labor,Kötelezően választható,,,,,,,,,,,,,,
320,,,52,,,MK-DSZ,Differenciált szakmai ismeretek,Kötelező,,,,,,,,MK-DIFF-EGYEB,Differenciált ismeretek - egyéb,Kötelezően választható,,,,,,,,TE-IB003piE,Speciálkollégium 3. (ea+lab_pti),Kötelezően választható,,,IB003piE,Ügyviteli rendszerek hatékony fejlesztése Magic xpa-val mobilos funkciókkal kiegészítve (kezdő),3,,,IB003piE,Ügyviteli rendszerek hatékony fejlesztése Magic xpa-val mobilos funkciókkal kiegészítve (kezdő),Kötelezően választható,,,,,,,,,,,,,,
