0,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név
13,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,2,,TT-IBK203,Operációkutatás I.,Kötelező,,,,,2,2,,TE-IBK203G,Operációkutatás I.,Kötelező,,,IBK203G,Operációkutatás I.,2,2,,IBK203G,Operációkutatás I.,Kötelezően választható,Gyakorlati jegy Közepes (3) 2021.05.26.,1,,,,,,,,,,,,
14,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,5,2,,TT-MBNXK262,A sztochasztika alapjai,Kötelező,,,,,3,2,,TE-MBNXK262G,A sztochasztika alapjai,Kötelező,,,MBNXK262G,A sztochasztika alapjai,3,2,,MBNXK262G,A sztochasztika alapjai,Kötelező,Gyakorlati jegy Közepes (3) 2021.05.18.,1,,,,,,,,,,,,
15,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,,,TT-IBK507,Bonyolultságelmélet,Kötelező,,,,,2,5,,TE-IBK507E,Bonyolultságelmélet,Kötelező,,,IBK507E-00001,Bonyolultságelmélet (tehetséggondozó program),2,5,,IBK507E-00001,Bonyolultságelmélet (tehetséggondozó program),Kötelezően választható,,,,,,,,,,,,,,
16,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,3,,TT-IBK301,Közelítő és szimbolikus számítások I.,Kötelező,,,,,2,3,,TE-IBK301G,Közelítő és szimbolikus számítások I.,Kötelező,,,IBK301G-00001,Közelítő és szimbolikus számítások I. (tehetséggondozó program),2,3,,IBK301G-00001,Közelítő és szimbolikus számítások I. (tehetséggondozó program),Kötelezően választható,,,,,,,,,,,,,,
17,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,5,,TT-IBK154,Mesterséges intelligencia I.,Kötelező,,,,,2,5,,TE-IBK154E,Mesterséges intelligencia I.,Kötelező,,,IBK154E,Mesterséges intelligencia I.,2,5,,IBK154E,Mesterséges intelligencia I.,Kötelezően választható,,2,,,,,,,,,,,,
18,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,2,,TT-IBK604,Logika és informatikai alkalmazásai,Kötelező,,,,,2,2,,TE-IBK604G,Logika és informatikai alkalmazásai,Kötelező,,,IBK604G,Logika és informatikai alkalmazásai gyakorlat,2,2,,IBK604G,Logika és informatikai alkalmazásai gyakorlat,Kötelezően választható,Gyakorlati jegy Jeles (5) 2021.05.22.,1,,,,,,,,,,,,
19,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,2,,TT-IBK203,Operációkutatás I.,Kötelező,,,,,2,2,,TE-IBK203E,Operációkutatás I.,Kötelező,,,IBK203E-00001,Operációkutatás I. (tehetséggondozó program),2,2,,IBK203E-00001,Operációkutatás I. (tehetséggondozó program),Kötelezően választható,,,,,,,,,,,,,,
20,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,3,,TT-IBK301,Közelítő és szimbolikus számítások I.,Kötelező,,,,,2,3,,TE-IBK301E,Közelítő és szimbolikus számítások I.,Kötelező,,,IBK301E,Közelítő és szimbolikus számítások I.,2,3,,IBK301E,Közelítő és szimbolikus számítások I.,Kötelezően választható,,3,,,,,,,,,,,,
21,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,4,,TT-IBK403,Formális nyelvek,Kötelező,,,,,2,4,,TE-IBK403G,Formális nyelvek,Kötelező,,,IBK403G-00001,Formális nyelvek gyakorlat (tehetséggondozó program),2,4,,IBK403G-00001,Formális nyelvek gyakorlat (tehetséggondozó program),Kötelezően választható,,,,,,,,,,,,,,
22,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,,,TT-IBK507,Bonyolultságelmélet,Kötelező,,,,,2,5,,TE-IBK507G,Bonyolultságelmélet,Kötelező,,,IBK507G-00001,Bonyolultságelmélet gyakorlat (tehetséggondozó program),2,5,,IBK507G-00001,Bonyolultságelmélet gyakorlat (tehetséggondozó program),Kötelezően választható,,,,,,,,,,,,,,
